אָב|av
לִנְהוֹם|linhom
לִנְהוֹק|linhok
לִנְהוֹר|linhor
נָהָר|nahar
מִנְהָרָה|minhara
לְהָנִיא|lehani
לְהָנִיב|lehaniv
לָנוּב|lanuv
תְּנוּבָה|tnuva
לָנוּד|lanud
לְהִתְנוֹדֵד|lehitnoded
לְהָנִיד|lehanid
תְּנוּדָה|tnuda
לָנוּחַ|lanuach
לְהָנִיחַ|lehaniach
לְהַנִּיחַ|lehaniach
תְּנוּחָה|tnucha
מְנוּחָה|menucha
נַחַת|nachat
נוֹחַ|noach
נוֹחוּת|nochut
לְנַווֵּט|lenavet
נַווָּט|navat
נָאווֶה|nave
לִנְווֹת|linvot
לָנוּם|lanum
לְהִתְנַווֵּן|lehitnaven
לְנַווֵּן|lenaven
מְנוּוָּן|menuvan
לְהָנִיס|lehanis
לָנוּס|lanus
מָנוֹס|manos
לָנוּעַ|lanua
לְהָנִיעַ|lehania
לְהִתְנוֹעֵעַ|lehitno'ea
תְּנוּעָה|tnu'a
מָנוֹעַ|manoa
לְנוֹפֵף|lenofef
לְהִתְנוֹפֵף|lehitnofef
לְהָנִיף|lehanif
מָנוֹף|manof
מְנִיפָה|menifa
נוֹף|nof
תְּנוּפָה|tnufa
תַּנּוּר|tanur
נוּר|nur
מְנוֹרָה|menora
נֵר|ner
נוּרָה|nura
לְהַזּוֹת|lehazot
לְהַנְזִיל|lehanzil
לִנְזוֹל|linzol
לְהַזִּיל|lehazil
נַזֶּלֶת|nazelet
נוֹזְלִי|nozli
נוֹזֵל|nozel
לְהִינָּזֵף|lehinazef
לִנְזוֹף|linzof
לְהַזִּיק|lehazik
לְהִינָּזֵק|lehinazek
נֶזֶק|nezek
לְהִתְנַזֵּר|lehitnazer
לְהַנְחוֹת|lehanchot
הַנְחָיָה|hanchaya
לִנְחוֹל|linchol
לְהַנְחִיל|lehanchil
לְהִתְנַחֵל|lehitnachel
נַחֲלָה|nachala
לְנַחֵם|lenachem
לְהִינָּחֵם|lehinachem
נֶחָמָה|nechama
לְהִתְנַחֵם|lehitnachem
לְהִתְנַחְמֵד|lehitnachmed
נָחוּץ|nachutz
לִנְחוֹר|linchor
נְחִיר|nechir
לְנַחֵשׁ|lenachesh
נָחָשׁ|nachash
נְחוֹשֶׁת|nechoshet
לִנְחוֹת|linchot
נֶחָת|nechat
לְהַנְחִית|lehanchit
לִנְטוֹת|lintot
לְהַטּוֹת|lehatot
לְהִינָּטוֹת|lehinatot
לְמַטָּה|lemata
מִיטָּה|mita
נְטִייָּה|netiya
מַטָּלָה|matala
לִיטּוֹל|litol
לְהִינָּטֵעַ|lehinatea
לָטַעַת|lata'at
לִנְטוֹף|lintof
לְהַטִּיף|lehatif
לִנְטוֹר|lintor
מַטָּרָה|matara
לְנַטֵּר|lenater
נִיטּוּר|nitur
לְנַטְרֵל|lenatrel
לִנְטוֹשׁ|lintosh
לְהִינָּטֵשׁ|lehinatesh
לְהִינָּטֵשׁ|lehinatesh
נָטוּשׁ|natush
נַייָּד|nayad
נַייָּד|nayad
נַייֶּדֶת|nayedet
לְהִתְנַייֵּד|lehitnayed
נִיחוֹחַ|nichoach
נְייָר|neyar
נִין|nin
נִינָה|nina
נִירוֹסְטָה|nirosta
נֶכֶד|neched
נֶכְדָּה|nechda
לִנְכּוֹחַ|linkoach
לְהַנְכִיחַ|lehanchiach
נוֹכֵחַ|nocheach
נוֹכְחוּת|nochechut
לְהַכּוֹת|lehakot
לְנַכּוֹת|lenakot
נָכֶה|nache
נָכוּת|nachut
מַכָּה|maka
נִיכּוּי|nikuy
לְהִתְנַכֵּל|lehitnakel
נוֹכֵל|nochel
נֶכֶס|neches
הַכָּרָה|hakara
לְהִינָּכֵר|lehinacher
לְנַכֵּר|lenaker
נַר|nar
לְהַכִּיר|lehakir
לְהִתְנַכֵּר|lehitnaker
הֶיכֵּר|heker
לְהַכִּישׁ|lehakish
מַכּוֹשׁ|makosh
לְהַנְמִיךְ|lehanmich
הַנְמָכָה|hanmacha
נָמוּךְ|namuch
נָמֵל|namel
לְנַמְנֵם|lenamnem
לְהִתְנַמְנֵם|lehitnamnem
מְנוּמָּס|menumas
נִימּוּס|nimus
לְנַמֵּק|lenamek
נִימּוּק|nimuk
נָמֵר|namer
נְסִיגָה|nesiga
לְהַסִּיג|lehasig
לְהַסִּיחַ|lehasiach
נוּסְחָה|nuscha
לְנַסֵּחַ|lenaseach
לְנַסּוֹת|lenasot
נִיסָּיוֹן|nisayon
נִיסּוּי|nisuy
לְהִתְנַסּוֹת|lehitnasot
נְסִיכָה|nesicha
נָסִיךְ|nasich
לִנְסוֹךְ|linsoch
מַסֵּכָה|masecha
נֵס|nes
לְהִתְנוֹסֵס|lehitnoses
נְסִיעָה|nesi'a
מַסָּע|masa
מַסּוֹעַ|masoa
לִנְסוֹעַ|linsoa
לְהַסִּיעַ|lehasia
הַסָּעָה|hasa'a
לְהַסִּיק|lehasik
לְהַסִּיק|lehasik
לִנְסוֹק|linsok
מַסּוֹק|masok
מַסְּקָנָה|maskana
לְנַסֵּר|lenaser
נְסוֹרֶת|nesoret
מַסּוֹר|masor
לִנְסוֹר|linsor
לִנְעוֹל|lin'ol
לִנְעוֹל|lin'ol
תִּנְעוֹלֶת|tin'olet
לְהַנְעִיל|lehan'il
נַעַל|na'al
נְעִילָה|ne'ila
לְהִינָּעֵל|lehina'el
מַנְעוּל|man'ul
לִנְעוֹם|lin'om
לְהַנְעִים|lehan'im
נָעִים|na'im
נְעִימָה|ne'ima
לְנַעְנֵעַ|lena'anea
לְהִתְנַעְנֵעַ|lehitna'anea
לִנְעוֹץ|lin'otz
נָעוּץ|na'utz
לְהִינָּעֵץ|lehina'etz
נְעוּרִים|ne'urim
לְנַעֵר|lena'er
לְהִתְנַעֵר|lehitna'er
לְהִינָּעֵר|lehina'er
לִנְעוֹר|lin'or
נַעַר|na'ar
נַעֲרָה|na'ara
לִנְפּוֹחַ|linpoach
לְנַפֵּחַ|lenapeach
לְהִתְנַפֵּחַ|lehitnapeach
נַפָּח|napach
תַּפּוּחַ|tapuach
לְנַפּוֹת|lenapot
לְהַפִּיל|lehapil
לִיפּוֹל|lipol
הַפָּלָה|hapala
לְהִתְנַפֵּל|lehitnapel
לְנַפְנֵף|lenafnef
לְנַפֵּץ|lenapetz
לְהִתְנַפֵּץ|lehitnapetz
נִיפּוּץ|niputz
נַפָּץ|napatz
לְהַנְפִּיק|lehanpik
לְהַפִּיק|lehapik
לְהַנְפִּישׁ|lehanpish
נֶפֶשׁ|nefesh
לִנְפּוֹשׁ|linposh
נְצִיב|netziv
נָצִיג|natzig
נְצִיגוּת|netzigut
לְנַצֵּחַ|lenatzeach
לְהִתְנַצֵּחַ|lehitnatzeach
לְהַנְצִיחַ|lehantziach
הַנְצָחָה|hantzacha
נִיצּוּחַ|nitzuach
נִיצָּחוֹן|nitzachon
מְנַצֵּחַ|menatzeach
נֶצַח|netzach
נִצְחִי|nitzchi
הַצָּלָה|hatzala
לְהַצִּיל|lehatzil
לְהִינָּצֵל|lehinatzel
לְנַצֵּל|lenatzel
לְהִתְנַצֵּל|lehitnatzel
נִיצּוּל|nitzul
נַצְלָן|natzlan
נִיצּוֹלֶת|nitzolet
הִתְנַצְּלוּת|hitnatzlut
הִינָּצְלוּת|hinatzlut
לְנַצְנֵץ|lenatznetz
לְהִתְנוֹצֵץ|lehitnotzetz
לְהָנֵץ|lehanetz
לִנְצוֹץ|lintzotz
הָנֵץ|hanetz
נִיצָּן|nitzan
נִיצוֹץ|nitzotz
לְהִתְנַצֵּר|lehitnatzer
הִתְנַצְּרוּת|hitnatzrut
נוֹצְרִי|notzri
נַצְרוּת|natzrut
לִנְצוֹר|lintzor
לִנְקוֹב|linkov
נְקֵבָה|nekeva
מַנְקֵב|mankev
נִיקּוּד|nikud
נְקוּדָּה|nekuda
לְנַקֵּד|lenaked
לְהִתְנַקֵּז|lehitnakez
לְנַקֵּז|lenakez
נִיקּוּז|nikuz
לְהִינָּקֵט|lehinaket
לִנְקוֹט|linkot
לְנַקּוֹת|lenakot
נִיקּוּי|nikuy
נִיקָּיוֹן|nikayon
לְהִתְנַקּוֹת|lehitnakot
נָקִי|naki
מַקֵּל|makel
לִנְקוֹם|linkom
נְקָמָה|nekama
לְהִתְנַקֵּם|lehitnakem
לְהִינָּקֵם|lehinakem
נַקְנִיק|naknik
לִנְקוֹעַ|linkoa
לְהַקִּיף|lehakif
מַקָּף|makaf
לִנְקוֹף|linkof
מַקּוֹר|makor
לְנַקֵּר|lenaker
נַקָּר|nakar
לִנְקוֹשׁ|linkosh
לְהִתְנַקֵּשׁ|lehitnakesh
לְהַקִּישׁ|lehakish
מַקָּשׁ|makash
נָשׂוּי|nasuy
לְהִתְנַשֵּׂא|lehitnase
לָשֵׂאת|laset
לְהִינָּשֵׂא|lehinase
לְהַשִּׂיא|lehasi
נָשִׂיא|nasi
שִׂיא|si
תְּשׂוּאָה|tsu'a
מוּשָּׂא|musa
נוֹשֵׂא|nose
מִתְנַשֵּׂא|mitnase
לְנַשֵּׁב|lenashev
לִנְשׁוֹב|linshov
לְהַשִּׂיג|lehasig
מוּשָּׂג|musag
הֶישֵּׂג|heseg
לְנַשֵּׁךְ|lenashech
לִנְשׁוֹךְ|linshoch
לְהִינָּשֵׁךְ|lehinashech
לְנַשֵּׁל|lenashel
לִנְשׁוֹל|linshol
לְהַשִּׁיל|lehashil
לִנְשׁוֹם|linshom
לְהִתְנַשֵּׁם|lehitnashem
נְשָׁמָה|neshama
לְהַנְשִׁים|lehanshim
הַנְשָׁמָה|hanshama
לְנַשְׁנֵשׁ|lenashnesh
לִנְשׁוֹף|linshof
לְהִתְנַשֵּׁף|lehitnashef
נֶשֶׁף|neshef
לְנַשֵּׁף|lenashef
יַנְשׁוּף|yanshuf
לְנַשֵּׁק|lenashek
לְהַשִּׁיק|lehashik
לְהִתְנַשֵּׁק|lehitnashek
מַשִּׁיק|mashik
נְשִׁיקָה|neshika
נֵשֶׁק|neshek
לִנְשׁוֹק|linshok
הַשָּׁקָה|hashaka
לִנְשׁוֹר|linshor
לְהַנְשִׁיר|lehanshir
נֶשֶׁר|nesher
לְהַשִּׁיר|lehashir
מִנְשָׁר|minshar
קַרְקָעִי|karka'i
לְנַתֵּב|lenatev
נָתִיב|nativ
לְהַתִּיז|lehatiz
לְהִינָּתֵז|lehinatez
לְנַתֵּחַ|lenateach
נִיתּוּחַ|nituach
מַתֶּכֶת|matechet
לְהַתִּיךְ|lehatich
לָתֵת|latet
לְהִינָּתֵן|lehinaten
נָתוּן|natun
נְתוּנִים|netunim
מַתָּנָה|matana
לְנַתֵּץ|lenatetz
לְהַתִּיק|lehatik
לְהִינָּתֵק|lehinatek
הִינָּתְקוּת|hinatkut
לְהִתְנַתֵּק|lehitnatek
לְנַתֵּק|lenatek
נִיתּוּק|nituk
נֶתֶק|netek
מוּתָּר|mutar
לְנַתֵּר|lenater
לְהַתִּיר|lehatir
לְהַתִּישׁ|lehatish
הַתָּשָׁה|hatasha
לְהִסְתָּאֵב|lehista'ev
לִסְאוֹן|lis'on
סַבָּא|saba
לְהִסְתּוֹבֵב|lehistovev
לְהִיסּוֹב|lehisov
לְסוֹבֵב|lesovev
לָסוֹב|lasov
לְסַבֵּב|lesabev
סֵבֶב|sevev
סְבִיבָה|sviva
מְסִיבָּה|mesiba
סִיבָּה|siba
לְהָסֵב|lehasev
סָבִיב|saviv
סְבִיבוֹן|svivon
סַבּוֹן|sabon
לְסַבֵּךְ|lesabech
תִּסְבּוֹכֶת|tisbochet
סָבוּךְ|savuch
לְהִסְתַּבֵּךְ|lehistabech
לִסְבּוֹל|lisbol
סֵבֶל|sevel
סַבָּל|sabal
סַבְלָן|savlan
סַבְלָנוּת|savlanut
לְסַבְּלֵט|lesablet
לְסַבֵּן|lesaben
לְהִסְתַּבֵּן|lehistaben
לְסַבְסֵד|lesavsed
סָבוּר|savur
לְהַסְבִּיר|lehasbir
סְבָרָה|svara
הֶסְבֵּר|hesber
הַסְבָּרָה|hasbara
הִסְתַּבְּרוּת|histabrut
לִסְבּוֹר|lisbor
לְהִסְתַּבֵּר|lehistaber
סָבִיר|savir
סָבְתָא|savta
מִסְגָּד|misgad
לִסְגּוֹד|lisgod
לְסַגֵּל|lesagel
הִסְתַּגְּלוּת|histaglut
מְסוּגָּל|mesugal
סָגוֹל|sagol
לְהִסְתַּגֵּל|lehistagel
סְגוּלָּה|sgula
סְגָן|sgan
סִגְנוֹן|signon
לְסַגְנֵן|lesagnen
סִיגְנוּן|signun
לְסַגְסֵג|lesagseg
סַגְסוֹגֶת|sagsoget
לְהִסְתַּגֵּף|lehistagef
לְסַגֵּף|lesagef
הַסְגָּרָה|hasgara
לִסְגּוֹר|lisgor
לְהִיסָּגֵר|lehisager
לְהַסְגִּיר|lehasgir
סְגִירָה|sgira
מִסְגֶּרֶת|misgeret
מַסְגֵּר|masger
סָגוּר|sagur
לְהִסְתַּגֵּר|lehistager
הֶסְגֵּר|hesger
סַדְנָה|sadna
סַדָּן|sadan
לְהִיסָּדֵק|lehisadek
לְסַדֵּק|lesadek
סֶדֶק|sedek
לִסְדּוֹק|lisdok
מִסְדְּרוֹן|misderon
לְסַדֵּר|lesader
לְהַסְדִּיר|lehasdir
סֵדֶר|seder
סִדְרָה|sidra
סַדָּר|sadar
סַדְרָן|sadran
סְדָר|sdar
סִידּוּרִי|siduri
לְהִסְתַּדֵּר|lehistader
סִידּוּר|sidur
סַהַר|sahar
סוֹהֵר|soher
סוֹהַר|sohar
סַהֲרוֹן|saharon
לָסֶגֶת|laseget
לְסַווֵּג|lesaveg
סוּג|sug
סוֹד|sod
לְהִסְתּוֹדֵד|lehistoded
סְווֶדֶר|sveder
לְהַסְווֹת|lehasvot
סוּס|sus
סוּסָה|susa
סוֹף|sof
סוֹפִי|sofi
סוּפָה|sufa
לָסוּר|lasur
לְהָסִית|lehasit
לִסְחוֹב|lischov
לְהִיסָּחֵב|lehisachev
לִסְחוֹט|lischot
לְהִיסָּחֵט|lehisachet
מַסְחֵטָה|mascheta
לִסְחוֹף|lischof
לְהִיסָּחֵף|lehisachef
סְחוֹפֶת|schofet
לִסְחוֹר|lischor
מִסְחָר|mischar
סְחוֹרָה|schora
סַחַר|sachar
סוֹחֵר|socher
לְסַחְרֵר|lesachrer
לְהִסְתַּחְרֵר|lehistachrer
סִיחְרוּר|sichrur
סְטוּדֶנְט|student
לִסְטוֹת|listot
סְטִירָה|stira
לִסְטוֹר|listor
סִיב|siv
לְהִסְתַּייֵּג|lehistayeg
לְסַייֵּג|lesayeg
הִסְתַּייְּגוּת|histaygut
לְסַייֵּד|lesayed
לְהָסִיחַ|lehasiach
לָסִיחַ|lasiach
לְהָסִיט|lehasit
לְהִסְתַּייֵּם|lehistayem
סִיּוּם|siyum
סִיּוֹמֶת|siyomet
לְסַייֵּם|lesayem
סִיס|sis
לְסַייֵּעַ|lesayea
לְהִסְתַּייֵּעַ|lehistayea
סַייְעָן|say'an
סִיּוּעַ|siyua
סִיפוֹן|sifon
לְהָסִיר|lehasir
לְסַייֵּר|lesayer
סַייֶּרֶת|sayeret
סִיּוּר|siyur
סִיר|sir
סָךְ|sach
לִסְכּוֹךְ|liskoch
לְסוֹכֵךְ|lesochech
לְסַכֵּךְ|lesakech
מָסַךְ|masach
מוּסָךְ|musach
לְסַכֵּל|lesakel
סִיכּוּל|sikul
לְהִסְתַּכֵּל|lehistakel
הֶסְכֵּם|heskem
לְסַכֵּם|lesakem
לְהַסְכִּים|lehaskim
סִיכּוּם|sikum
סְכוּם|schum
לִסְכּוֹם|liskom
לְהִסְתַּכֵּם|lehistakem
הַסְכָּמָה|haskama
מְסוּכָּן|mesukan
לְסַכֵּן|lesaken
סִיכּוּן|sikun
סַכָּנָה|sakana
סוֹכֵן|sochen
סוֹכְנוּת|sochnut
לְהַסְכִּין|lehaskin
לְהִסְתַּכֵּן|lehistaken
סַכִּין|sakin
סִיכְסוּךְ|sichsuch
לְהִסְתַּכְסֵךְ|lehistachsech
לְסַכְסֵךְ|lesachsech
לִסְכּוֹר|liskor
סֶכֶר|secher
לְהַסְכִּית|lehaskit
הֶסְכֵּת|hesket
תַּסְכִּית|taskit
סַל|sal
לִסְלוֹד|lislod
סָלוֹן|salon
לִסְלוֹחַ|lisloach
לְהִיסָּלֵחַ|lehisaleach
סְלִיחָה|slicha
סָלָט|salat
סוֹלְלָה|solela
לְהִיסָּלֵל|lehisalel
לִסְלוֹל|lislol
מְסִילָּה|mesila
מַסְלוּל|maslul
הַסְלָמָה|haslama
לְהַסְלִים|lehaslim
סוּלָּם|sulam
לְהִסְתַּלְסֵל|lehistalsel
לְסַלְסֵל|lesalsel
סֶלַע|sela
לְסַלֵּף|lesalef
סִילּוּף|siluf
לְסַלֵּק|lesalek
לְהִסְתַּלֵּק|lehistalek
סִילּוּק|siluk
לְסַמֵּא|lesame
לְהִסְתַּמֵּא|lehistame
סָמוּי|samuy
לִסְמוֹךְ|lismoch
הַסְמָכָה|hasmacha
מִסְמָךְ|mismach
סָמִיךְ|samich
סָמוּךְ|samuch
סְמִיכָה|smicha
סַמְכוּת|samchut
לְהַסְמִיךְ|lehasmich
לְהִסְתַּמֵּךְ|lehistamech
לְסַמֵּל|lesamel
סֵמֶל|semel
סַמָּל|samal
לְסַמֵּם|lesamem
לְסַמֵּן|lesamen
לְהִסְתַּמֵּן|lehistamen
תִּסְמוֹנֶת|tismonet
סִימּוּן|simun
לְסַמֵּס|lesames
לְסַמְפֵּט|lesampet
לְהַסְמִיק|lehasmik
לִסְמוֹר|lismor
מַסְמֵר|masmer
לְסַמֵּר|lesamer
לְסַמְרֵר|lesamrer
לְסַנְגֵּר|lesanger
לְסַנְדֵּל|lesandel
לְהִסְתַּנְווֵר|lehistanver
סַנְווֵרִים|sanverim
לְסַנְווֵר|lesanver
לְהִסְתַּנְווֵר|lehistanver
סִינְווּר|sinvur
הִסְתַּנְווְרוּת|histanverut
סַנְטֵר|santer
לְסַנְכְּרֵן|lesankren
לְהִסְתַּנְכְּרֵן|lehistankren
סִינְכְּרוּן|sinkrun
לְסַנֵּן|lesanen
לְהִסְתַּנֵּן|lehistanen
מַסְנֵן|masnen
הִסְתַּנְּנוּת|histanenut
סִינּוּן|sinun
מְסוּנָּן|mesunan
תַּסְנִין|tasnin
מִסְנֶנֶת|misnenet
לְסַנֵּף|lesanef
לְהִסְתַּנֵּף|lehistanef
סְנִיף|snif
לִסְעוֹד|lis'od
מִסְעָדָה|mis'ada
סְעוּדָה|se'uda
סִיעוּד|si'ud
לְהִסְתַּעֵף|lehista'ef
לְהִיסָּעֵר|lehisa'er
לְהִסְתַּעֵר|lehista'er
לְהַסְעִיר|lehas'ir
סְעָרָה|se'ara
לִסְעוֹר|lis'or
מִסְפּוֹא|mispo
לִסְפּוֹג|lispog
לְהִיסָּפֵג|lehisafeg
לִסְפּוֹד|lispod
לְהִיסָּפֵד|lehisafed
לְהַסְפִּיד|lehaspid
סַפָּה|sapa
לְסַפֵּחַ|lesapeach
לְהִיסָּפֵחַ|lehisafeach
לִסְפּוֹחַ|lispoach
לְהִסְתַּפֵּחַ|lehistapeach
סִיפּוּחַ|sipuach
לִסְפּוֹת|lispot
לְהִיסָּפוֹת|lehisafot
סֵפֶל|sefel
סֵפֶל|sefel
סִפְנָה|sifna
סַפָּן|sapan
לִסְפּוֹן|lispon
סְפִינָה|sfina
סִיפּוּן|sipun
סַפְסָל|safsal
לְסַפְסֵר|lesafser
סַפְסָר|safsar
סַף|saf
סְפִיקָה|sfika
לְסַפֵּק|lesapek
סְפִיקָה|sfika
לְהִסְתַּפֵּק|lehistapek
לְהַסְפִּיק|lehaspik
לִסְפּוֹק|lispok
סַפָּק|sapak
סָפֵק|safek
הַסְפָּקָה|haspaka
אַסְפָּקָה|aspaka
לִסְפּוֹר|lispor
לְהִסְתַּפֵּר|lehistaper
סִפְרִייָּה|sifriya
סֵפֶר|sefer
סַפָּר|sapar
סִיפּוּר|sipur
סִפְרָה|sifra
תִּסְפּוֹרֶת|tisporet
מִסְפָּרָה|mispara
מִסְפָּר|mispar
לְהִיסָּפֵר|lehisafer
סִפְרוּת|sifrut
סִפְרוּתִי|sifruti
סְפִירָה|sfira
לְסַפֵּר|lesaper
מִסְפָּרַייִם|misparayim
סָפוּר|safur
סְפָרַד|sfarad
סְפָרַדִּי|sfaradi
לְסַפְרֵת|lesafret
סְקִילָה|skila
לִסְקוֹל|liskol
לְסַקֵּל|lesakel
לְהִיסָּקֵל|lehisakel
סַקְרָן|sakran
לִסְקוֹר|liskor
לְסַקֵּר|lesaker
לְהִיסָּקֵר|lehisaker
סֶקֶר|seker
לְסַקְרֵן|lesakren
לְהִסְתַּקְרֵן|lehistakren
לְסָרֵב|lesarev
לְסַרְבֵּל|lesarbel
לִסְרוֹג|lisrog
לְהִיסָּרֵג|lehisareg
סַרְגֵּל|sargel
לְהַסְרִיחַ|lehasriach
סֵירָחוֹן|serachon
לִסְרוֹט|lisrot
לְהִיסָּרֵט|lehisaret
לְהַסְרִיט|lehasrit
הַסְרָטָה|hasrata
סֶרֶט|seret
מַסְרֵטָה|masreta
תַּסְרִיט|tasrit
סֶרֶן|seren
סֶרֶן|seren
לְסָרֵס|lesares
סָרִיס|saris
סַרְעֶפֶת|sar'efet
סְרִיקָה|srika
לְהִיסָּרֵק|lehisarek
לְסָרֵק|lesarek
לְהִסְתָּרֵק|lehistarek
תִּסְרוֹקֶת|tisroket
מַסְרֵק|masrek
לִסְרוֹק|lisrok
סְרָק|srak
סְתָיו|stav
לְהִיסָּתֵם|lehisatem
סָתוּם|satum
לִסְתּוֹם|listom
סְתִימָה|stima
לְהִיסָּתֵר|lehisater
לִסְתּוֹר|listor
לְהִסְתַּתֵּר|lehistater
מִסְתּוֹר|mistor
סְתִירָה|stira
לְהַסְתִּיר|lehastir
נִסְתָּר|nistar
לְסַתֵּת|lesatet
לְעַבֵּד|le'abed
לְהַעֲבִיד|leha'avid
עִיבּוּד|ibud
עֲבוֹדָה|avoda
עֶבֶד|eved
עוּבְדָּה|uvda
עַבְדוּת|avdut
מַעְבָּדָה|ma'abada
לַעֲבוֹד|la'avod
בְּדִיעֲבַד|bedi'avad
עֲבוּר|avur
לְעַבּוֹת|le'abot
לְהִתְעַבּוֹת|lehit'abot
לַעֲבוֹת|la'avot
לְהַעֲבִיר|leha'avir
לְעַבֵּר|le'aber
לְהִתְעַבֵּר|lehit'aber
מַעֲבָר|ma'avar
עֲבַרְייָן|avaryan
עִבְרִי|ivri
לַעֲבוֹר|la'avor
עָבָר|avar
מַעְבּוֹרֶת|ma'aboret
לְעַבְרֵת|le'avret
לְהִתְעַבְרֵת|lehit'avret
לְהִתְעַבֵּשׁ|lehit'abesh
עַגֶּבֶת|agevet
לַעֲגוֹב|la'agov
עָגָה|aga
לְעַגֵּל|le'agel
לְהִתְעַגֵּל|lehit'agel
עִיגּוּל|igul
עָגוֹל|agol
עֲגַלְגַּל|agalgal
לְעַגֵּן|le'agen
עוֹגֶן|ogen
לַעֲגוֹן|la'agon
עִיגּוּן|igun
עַד|ad
עַד|ad
עֲדִי|adi
עֲדַייִן|adayin
לְהִתְעַדְכֵּן|lehit'adken
לְעַדְכֵּן|le'adken
עִידְכּוּן|idkun
לְהִתְעַדֵּן|lehit'aden
עָדִין|adin
לְעַדֵּן|le'aden
עָדִיף|adif
לְהַעֲדִיף|leha'adif
עוֹדֶף|odef
לְהֵיעָדֵר|lehe'ader
לַעֲדוֹר|la'ador
עֲדָשָׁה|adasha
עֲדָשָׁה|adasha
לְהָעִיב|leha'iv
לָעוּג|la'ug
עוּגָה|uga
עוּגִייָּה|ugiya
עֵד|ed
לְהִתְעוֹדֵד|lehit'oded
לְהָעִיד|leha'id
לְעוֹדֵד|le'oded
תְּעוּדָה|te'uda
עוֹד|od
עִידוּד|idud
לְהָעִיז|leha'iz
לָעוּט|la'ut
לְעַוּוֹת|le'avot
עָווֹן|avon
לְהַעֲווֹת|leha'avot
מָעוֹן|ma'on
עוֹנָה|ona
לְהָעִיף|leha'if
לָעוּף|la'uf
לְהִתְעוֹפֵף|lehit'ofef
תְּעוּפָה|te'ufa
לְעוֹפֵף|le'ofef
עוֹף|of
לְהָעִיק|leha'ik
לְהִתְעוֹרֵר|lehit'orer
לְהֵיעוֹר|lehe'or
לְהָעִיר|leha'ir
לְעוֹרֵר|le'orer
לְהִתְעַווֵּר|lehit'aver
לָעוּר|la'ur
עִיווֵּר|iver
הֶעָרָה|he'ara
מְעָרָה|me'ara
עוֹר|or
לְעַווֵּר|le'aver
עִיוּוּת|ivut
לְהִתְעַווֵּת|lehit'avet
לְעַווֵּת|le'avet
לַעֲזוֹב|la'azov
לְהֵיעָזֵב|lehe'azev
עוֹז|oz
לְהָעֵז|leha'ez
מָעוֹז|ma'oz
עַז|az
לְהֵיעָזֵר|lehe'azer
עֶזְרָה|ezra
עֵזֶר|ezer
לַעֲזוֹר|la'azor
עֵט|et
לַעֲטוֹת|la'atot
לְהַעֲטוֹת|leha'atot
עֲטַלֵּף|atalef
לַעֲטוֹף|la'atof
לְהֵיעָטֵף|lehe'atef
לְהִתְעַטֵּף|lehit'atef
מַעֲטָפָה|ma'atafa
עֲטִיפָה|atifa
לְעַטֵּר|le'ater
לְהֵיעָטֵר|lehe'ater
לַעֲטוֹר|la'ator
לְהִתְעַטֵּשׁ|lehit'atesh
עַיִט|ayit
לְעַייֵּן|le'ayen
עִיּוּן|iyun
עַיִן|ayin
לַעֲיוֹן|la'ayon
מַעֲייָן|ma'ayan
עָייֵף|ayef
לְהִתְעַייֵּף|lehit'ayef
לְעַייֵּף|le'ayef
עָייֵף|ayef
עַיִר|ayir
עִיר|ir
עִירִייָּה|iriya
עֵירוֹם|erom
עִירוֹנִי|ironi
לְעַכֵּב|le'akev
לְהִתְעַכֵּב|lehit'akev
עִיכּוּב|ikuv
עֲכָּבִישׁ|akavish
עַכְבָּר|achbar
לְעַכֵּל|le'akel
לְהִתְעַכֵּל|lehit'akel
לְהֵיעָכֵל|lehe'achel
עִיכּוּל|ikul
לְהֵיעָכֵר|lehe'acher
לְהַעֲכִיר|leha'achir
לַעֲכוֹר|la'achor
עַכְשָׁיו|achshav
עַל|al
עַל גַּב|algav
עַל גַּבֵּי|algabei
עַל יַד|alyad
עַל יְדֵי|alyedei
עַל פִּי|alpi
עַל פְּנֵי|alpnei
הַעֲלָאָה|ha'ala'a
עֶלְבּוֹן|elbon
הַעֲלָבָה|ha'alava
לְהֵיעָלֵב|lehe'alev
לְהַעֲלִיב|leha'aliv
לַעֲלוֹב|la'alov
עַלִּיז|aliz
מַעֲלָה|ma'ala
עֶלְיוֹנוּת|elyonut
עֶלְיוֹן|elyon
לְהִתְעַלּוֹת|lehit'alot
מַעְלָה|mala
נַעֲלֶה|na'ale
לְהַעֲלוֹת|leha'alot
מְעוּלֶּה|me'ule
עָלֶה|ale
לְמַעְלָה|lemala
עֲלִיָּה|aliya
עֲלוּת|alut
לַעֲלוֹת|la'alot
עוֹל|ol
לְהִתְעַלֵּל|lehit'alel
לְעוֹלֵל|le'olel
עֲלִילָה|alila
עֲלִילָה|alila
עָלוּל|alul
הִתְעַלְּלוּת|hit'alelut
עַלְמָה|alma
עֶלֶם|elem
לְהֵיעָלֵם|lehe'alem
לְהַעֲלִים|leha'alim
לְהִתְעַלֵּם|lehit'alem
עוֹלָם|olam
הַעֲלָמָה|ha'alama
עוֹלָמִי|olami
הֵיעָלְמוּת|he'almut
עָלוּם|alum
לְהִתְעַלֵּס|lehit'ales
לְעַלְעֵל|le'al'el
לְעַלֵּף|le'alef
לְהִתְעַלֵּף|lehit'alef
עִם|im
לַעֲמוֹד|la'amod
